Product,Type,ServingQty,ServingUnit,ServingWeight,Season,Calories,Protein,Fiber,TotalCarboHydrates,TotalFat,SaturatedFat,TransFat,PolyUnsaturatedFat,MonoUnsaturatedFat,AddedSugars,Cholesterol,Calcium,Iron,Magnesium,Potassium,Sodium,Zinc,Vit A,Vit B6,Vit B12,Vit C,Vit D,Vit E,Vit K
Almond Milk,Beverages,1,CUP,248.8,,56.04,1.06,0.63,8.08,2.5,0.19,0.0008,0.6165,1.5776,7.2,0,20.624,0.189,15.868,36.79,9.59,0.1804,0,0.0069,0,0,0,1.2815,0
Anise Star,Herbs & Spices,1,UNIT,2.1,,7.08,0.37,0.31,1.05,0.33,0.01,,0.0662,0.2054,,0,13.566,0.7762,3.57,30.26,0.34,0.1113,0.336,0.0137,0,0.441,0,,
Banana,Fruits,1,UNIT,118,,105.02,1.29,3.07,26.95,0.39,0.13,0,0.0861,0.0378,14.43,0,5.9,0.3068,31.86,422.44,1.18,0.177,3.54,0.4331,0,10.266,0,0.118,0.59
Black Pepper,Herbs & Spices,1,TEASPOON,2.3,,5.77,0.24,0.58,1.47,0.07,0.03,0,0.023,0.017,0.01,0,10.189,0.2233,3.933,30.57,0.46,0.0274,0.621,0.0067,0,0,0,0.0239,3.7651
Bok Choy,Cruciferous,1,CUP,170,,20.4,2.65,1.7,3.03,0.27,0.04,0,0.1309,0.0204,1.41,0,158.1,1.768,18.7,630.7,57.8,0.289,360.4,0.2822,0,44.2,0,0.153,57.8
Coconut Milk,Beverages,1,CUP,226,,445.22,4.57,,6.35,48.21,42.75,,0.5266,2.0498,,0,40.68,7.458,103.96,497.2,29.38,1.2656,0,0.0633,0,2.26,0,,
Frozen Berries,Berries,1,CUP,141.75,,64.72,1.4,5.55,15.41,0.61,0.03,0,0.329,0.0703,8.66,0,26.4275,0.6948,21.125,191.38,1.42,0.4324,6.065,0.0648,0,41.5495,0,1.0098,17.5035
Garlic Clove,Vegetables,1,UNIT,3,,4.47,0.19,0.06,0.99,0.02,0,0,0.0075,0.0003,0.03,0,5.43,0.051,0.75,12.03,0.51,0.0348,0,0.0371,0,0.936,0,0.0024,0.051
Ginger,Vegetables,1,TEASPOON,2,,1.6,0.04,0.04,0.36,0.02,0,0,0.0031,0.0031,0.03,0,0.32,0.012,0.86,8.3,0.26,0.0068,0,0.0032,0,0.1,0,0.0052,0.002
Green Onion,Vegetables,1,UNIT,15,,4.8,0.27,0.39,1.1,0.03,0,0,0.0111,0.0041,0.35,0,10.8,0.222,3,41.4,2.4,0.0585,7.5,0.0092,0,2.82,0,0.0825,31.05
Miso Paste,,1,TABLESPOON,17,,33.66,2.17,0.92,4.31,1.02,0.17,0,0.4903,0.1901,1.05,0,9.69,0.4233,8.16,35.7,633.76,0.4352,0.68,0.0338,0.0136,0,0,0.0017,4.981
Oat Flakes,Grains,0.5,CUP,40.5,,153.5,5.33,4.09,27.42,2.64,0.45,,0.9315,0.8019,0.4,0,21.06,1.7213,55.89,146.61,2.43,1.4742,0,0.0405,0,0,0,0.1701,0.81
Olive Oil,,1,TABLESPOON,13.5,,119.34,0,0,0,13.5,1.86,,1.4206,9.8497,0,0,0.135,0.0756,0,0.14,0.27,0,0,0,0,0,0,1.9373,8.127
Onion,Vegetables,1,UNIT,94,,41.36,1.28,1.32,9.54,0.18,0.03,0,0.0686,0.0254,4.45,0,20.68,0.2256,10.34,156.04,2.82,0.1974,0,0.1213,0,4.888,0,0.0188,0.47
Peanut Butter,Nuts,2,TABLESPOON,32,,188.16,7.02,1.82,7.67,15.85,3.05,0,3.6259,6.6323,2.08,0,17.28,0.6912,57.28,189.44,152.32,0.8544,0,0.1763,0,0,0,1.9008,0
Ramen Noodles,Grains,566.08,GRAMS,566.08,,383.52,9.86,3.06,52.46,14.58,6.71,0,1.7513,5.0327,0.95,0,16.6968,2.2291,34.4308,75.14,1633.32,0.8712,0,0.0833,0,0,0,2.1742,1.04
Salt,,0.25,TEASPOON,1.5,,0,0,0,0,0,0,0,0,0,0,0,0.36,0.005,0.015,0.12,581.37,0.0015,0,0,0,0,0,0,0
